new_id,prob
2,0.54846
3,0.81095
4,0.21377
8,0.0006
13,0.01231
14,5e-05
16,0.99942
17,0.94344
18,0.9998
20,0.9981
23,0.94536
25,0.98398
26,0.01491
28,0.00131
31,0.96927
33,0.03379
34,0.19022
35,0.0314
37,0.00213
43,0.99986
44,0.5806
45,0.5276
47,0.0403
53,0.95884
55,0.04859
56,0.99713
57,0.99529
59,0.99953
60,0.9941
61,0.96398
64,0.01383
67,0.9812
68,0.90646
72,0.70409
74,0.90712
76,0.02416
79,0.3537
81,0.11764
82,0.02791
84,0.11305
85,0.00577
87,0.01011
89,0.09366
90,0.36091
92,0.68835
93,0.9484
97,0.00477
101,0.8168
104,0.87822
105,0.93149
106,0.01925
109,0.00051
110,0.90723
111,0.96059
112,0.48488
113,0.99918
114,0.96066
115,0.99631
125,0.2159
126,0.99472
128,0.19774
130,0.68969
132,0.98599
133,0.99433
136,0.98323
138,0.00274
139,0.96417
141,0.96095
142,0.95245
143,0.37079
144,0.82435
146,0.98061
148,0.98305
149,0.85326
153,0.98824
154,0.00548
156,0.92382
158,0.00014
159,0.75683
160,0.31203
168,0.02384
169,0.8566
171,0.00884
172,0.1012
174,0.67851
175,0.00184
178,0.89736
180,0.88169
181,0.97964
183,0.96621
184,0.94975
185,0.00048
186,0.6005
187,0.87709
188,0.06138
189,0.518
190,0.85655
192,0.98878
194,0.11527
195,0.38609
196,0.87893
197,0.84733
200,0.02069
202,0.99896
207,0.71446
209,0.24032
213,0.80943
214,0.68639
215,0.0207
217,0.1154
218,0.56775
219,0.96719
221,0.92686
222,0.06193
224,0.0337
225,0.92478
226,0.69194
228,0.02104
230,0.44074
237,0.97797
240,0.97109
241,0.00556
245,0.00061
247,0.00352
248,0.00178
249,0.99667
250,0.03571
255,0.85033
258,0.04588
259,0.00433
264,0.66277
266,0.96236
267,0.95257
268,0.0209
269,0.00259
270,0.82574
272,0.34049
275,0.00011
276,0.75229
277,0.98732
278,0.32554
280,0.87017
282,0.83695
285,0.61562
286,0.01049
288,0.18605
289,0.04513
291,0.99881
292,0.99946
293,0.94503
296,0.14466
303,0.5734
304,0.96823
305,0.84195
306,0.99635
309,0.07053
310,0.04689
311,0.15059
314,0.60581
315,0.94202
316,0.05215
317,0.03748
318,0.71233
320,0.00256
325,0.00601
331,0.96726
332,0.56548
336,0.77624
337,0.00557
340,0.56374
342,0.37923
343,0.56754
344,0.72601
349,0.02039
351,0.0275
352,0.97968
353,0.39252
356,0.80652
357,0.87852
359,5e-05
360,0.96481
364,0.66954
367,0.15933
369,0.00362
370,0.02488
374,0.9806
377,0.0642
378,0.85005
379,0.04504
382,0.99116
387,0.03007
388,0.08958
389,0.64356
396,0.9911
397,0.08344
398,0.99227
400,0.61163
401,0.95624
406,0.99713
408,0.86779
409,0.13914
412,0.87535
413,0.28685
416,0.01345
420,0.04268
421,0.97485
422,0.99673
423,0.69066
424,0.02736
426,0.00037
427,0.07735
430,0.05029
431,0.38169
436,0.98867
438,0.00823
439,0.01579
444,0.94089
446,0.95981
447,0.61813
449,0.00094
453,0.05402
456,0.99637
457,0.0279
463,0.976
464,0.02871
471,0.0
472,0.03628
473,0.99175
478,0.9496
479,0.00475
480,0.32101
483,0.05245
489,0.74523
492,0.00133
493,0.00945
494,0.9108
495,0.85767
496,0.00029
497,0.01893
498,0.04357
499,0.98023
500,0.98638
501,0.15751
504,0.99962
505,0.99036
507,0.91866
509,0.13058
510,0.79959
512,0.042
513,0.20941
517,0.01003
520,0.0267
521,0.69466
522,0.99986
523,0.04872
525,0.96392
526,0.07576
527,0.69034
531,0.90877
534,0.95058
535,0.99835
538,0.16312
539,0.94089
542,0.03159
544,0.01885
545,0.79217
549,0.00021
552,0.00879
554,0.20221
561,0.82575
565,0.21504
569,0.9192
572,0.74547
573,0.93248
574,0.11774
575,0.99747
576,0.02827
579,0.16711
582,0.00852
583,0.96277
587,0.01943
588,0.99824
590,0.91626
591,0.96153
595,0.22823
596,0.25507
597,0.94274
600,0.05576
602,0.26311
605,0.44555
606,0.01789
611,0.00629
617,0.92914
619,0.00808
620,0.00777
621,0.07432
623,0.98704
624,0.09314
626,0.09186
627,0.10538
628,0.01731
630,0.00731
633,0.00177
637,0.99757
638,0.99216
639,0.00129
640,0.08661
641,0.91795
643,0.34164
647,0.10193
649,0.87072
650,0.54862
651,0.82204
656,0.96198
657,0.95616
658,0.18029
660,0.01475
661,0.30718
664,0.43916
667,0.00068
668,0.02929
671,0.05806
672,0.52873
674,0.42363
676,0.7956
678,0.06128
680,0.97291
681,0.02253
682,0.99815
685,0.01297
687,0.35341
691,0.5007
692,0.08187
694,0.47012
696,0.85744
697,0.00244
698,0.2123
700,0.00161
704,0.8912
705,0.82258
707,0.00058
708,0.10553
710,0.20611
711,0.9891
712,0.44888
713,0.01233
715,0.8451
717,0.047
720,0.00372
723,0.02927
724,0.03068
728,0.95715
729,0.2553
731,0.01569
737,0.89781
738,0.64494
739,0.92555
740,0.69842
742,0.99613
743,0.31871
744,0.19059
747,0.00313
748,0.71124
749,0.92557
750,0.99976
752,0.98635
754,0.29991
756,0.00167
760,0.16397
761,0.00082
765,0.40209
766,0.37937
770,0.75465
771,0.16114
773,0.01868
774,0.20562
778,0.00021
779,0.55295
780,0.05174
782,0.17409
783,0.31737
789,0.79116
790,0.54204
793,0.0022
794,0.96341
795,0.97631
797,0.00168
798,0.9731
802,0.68487
804,0.60869
805,0.16854
808,0.75105
811,0.99682
812,0.23376
816,0.87424
821,0.29296
823,0.06463
824,0.72304
827,0.71319
831,0.00748
837,0.00237
839,0.98558
845,0.84562
846,0.99121
849,0.01682
852,0.04011
853,0.12387
856,0.9449
859,0.93423
860,0.93465
862,0.93371
868,0.98838
870,0.04992
876,0.99982
877,0.98868
881,0.95281
883,0.98948
888,0.79285
889,0.99434
891,0.99086
893,0.95399
894,0.03118
895,0.05061
896,0.02179
900,0.01271
902,0.7151
906,0.7071
907,0.62423
909,0.05353
911,0.04282
913,0.00282
915,0.54426
918,0.18673
921,0.9725
923,0.00279
924,5e-05
925,0.02487
926,0.89589
927,0.62723
929,0.99458
930,0.97998
931,0.96774
932,0.34726
933,0.00519
934,0.94004
936,0.33317
